0,1478632.153
1,1490694.265
2,1502459.147
3,1513921.816
4,1525077.488
5,1535921.573
6,1546449.666
7,1556657.541
8,1566541.144
9,1576096.589
10,1585320.154
11,1594208.274
12,1602757.541
13,1610964.7
14,1618826.646
15,1626340.419
16,1633503.207
17,1640312.341
18,1646765.295
19,1652859.682
20,1658593.254
21,1663963.904
22,1668969.659
23,1673608.684
24,1677879.279
25,1681779.88
26,1685309.056
27,1688465.51
28,1691248.078
29,1693655.729
30,1695687.564
31,1697342.818
32,1698620.855
33,1699521.172
34,1700043.395
35,1700187.285
36,1699952.729
37,1699339.747
38,1698348.489
39,1696979.236
40,1695232.395
41,1693108.508
42,1690608.243
43,1687732.399
44,1684481.903
45,1680857.813
46,1676861.316
47,1672493.726
48,1667756.488
49,1662651.177
50,1657179.495
51,1651343.273
52,1645144.473
53,1638585.186
54,1631667.632
55,1624394.159
56,1616767.248
57,1608789.508
58,1600463.68
59,1591792.636
60,1582779.38
61,1573427.047
62,1563738.907
63,1553718.365
64,1543368.959
65,1532694.366
66,1521698.402
67,1510385.02
68,1498758.319
69,1486822.541
70,1474582.076
71,1462041.465
72,1449205.403
73,1436078.744
74,1422666.507
75,1408973.878
76,1395006.22
77,1380769.08
78,1366268.195
79,1351509.505
80,1336499.162
81,1321243.548
82,1305749.283
83,1290023.249
84,1274072.61
85,1257904.837
86,1241527.733
87,1224949.476
88,1208178.651
