,0
0,30.601094149120247
1,61.20218829824049
2,91.80328244736074
3,122.40437659648099
4,153.00547074560126
5,183.6065648947215
6,214.20765904384174
7,244.80875319296197
8,275.40984734208223
9,306.0109414912025
10,336.6120356403228
11,367.213129789443
12,397.81422393856315
13,428.4153180876835
14,459.0164122368037
15,489.61750638592395
16,520.2186005350442
17,550.8196946841645
18,581.4207888332847
19,612.021882982405
20,642.6229771315251
21,673.2240712806456
22,703.8251654297657
23,734.426259578886
24,765.0273537280061
25,61.563673281374136
26,123.12734656274827
27,184.69101984412237
28,246.25469312549654
29,307.81836640687067
30,369.38203968824473
31,430.94571296961897
32,492.5093862509931
33,554.0730595323672
34,615.6367328137413
35,677.2004060951153
36,738.7640793764895
37,61.21034641451592
38,122.42069282903184
39,183.6310392435478
40,244.84138565806367
41,306.0517320725796
42,367.2620784870956
43,428.47242490161136
44,489.68277131612734
45,550.8931177306433
46,612.1034641451593
47,673.313810559675
48,734.5241569741912
49,91.56669707537343
50,183.13339415074685
51,274.70009122612026
52,366.2667883014937
53,457.8334853768671
54,549.4001824522405
55,640.966879527614
56,732.5335766029874
57,91.86963512640085
58,183.7392702528017
59,275.60890537920267
60,367.4785405056034
61,459.34817563200437
62,551.2178107584053
63,643.0874458848062
64,734.9570810112068
65,826.8267161376078
66,30.601094149120247
67,61.20218829824049
68,91.80328244736074
69,122.40437659648099
70,153.00547074560126
71,183.6065648947215
72,214.20765904384174
73,244.80875319296197
74,275.40984734208223
75,306.0109414912025
76,336.6120356403228
77,367.213129789443
78,397.81422393856315
79,428.4153180876835
80,459.0164122368037
81,489.61750638592395
82,520.2186005350442
83,550.8196946841645
84,581.4207888332847
85,612.021882982405
86,642.6229771315251
87,673.2240712806456
88,703.8251654297657
89,734.426259578886
90,765.0273537280061
91,61.563673281374136
92,123.12734656274827
93,184.69101984412237
94,246.25469312549654
95,307.81836640687067
96,369.38203968824473
97,430.94571296961897
98,492.5093862509931
99,554.0730595323672
100,615.6367328137413
101,677.2004060951153
102,738.7640793764895
103,61.21034641451592
104,122.42069282903184
105,183.6310392435478
106,244.84138565806367
107,306.0517320725796
108,367.2620784870956
109,428.47242490161136
110,489.68277131612734
111,550.8931177306433
112,612.1034641451593
113,673.313810559675
114,734.5241569741912
115,91.56669707537343
116,183.13339415074685
117,274.70009122612026
118,366.2667883014937
119,457.8334853768671
120,549.4001824522405
121,640.966879527614
122,732.5335766029874
123,91.86963512640085
124,183.7392702528017
125,275.60890537920267
126,367.4785405056034
127,459.34817563200437
128,551.2178107584053
129,643.0874458848062
130,734.9570810112068
131,826.8267161376078
132,310.76286437894476
133,621.5257287578895
134,466.24523652431793
135,345.0870287343389
136,690.1740574686778
137,423.3753319640891
138,1321.0166142031383
139,1289.2707171749173
140,1226.3401064492332
141,443.9130020204327
142,887.8260040408654
143,61.20218829824049
144,122.40437659648099
145,183.6065648947215
146,244.80875319296197
147,306.0109414912025
148,367.213129789443
149,428.4153180876835
150,489.61750638592395
151,550.8196946841645
152,612.021882982405
153,673.2240712806456
154,734.426259578886
155,123.12734656274827
156,153.90918320343533
157,246.25469312549654
158,307.81836640687067
159,369.38203968824473
160,461.72754961030597
161,492.5093862509931
162,615.6367328137413
163,615.6367328137413
164,769.5459160171768
165,738.7640793764895
166,122.42069282903184
167,244.84138565806367
168,367.2620784870956
169,489.68277131612734
170,612.1034641451593
171,734.5241569741912
172,183.13339415074685
173,366.2667883014937
174,549.4001824522405
175,732.5335766029874
176,183.7392702528017
177,367.4785405056034
178,551.2178107584053
